4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,3/20/2007,Single-player;Multi-player,Action;RPG,Atmospheric;Post-apocalyptic;Open World,11039,570
4520,Full Spectrum Warrior,7/17/2007,Single-player;Multi-player;Co-op,Action;Strategy,Strategy;Action;Tactical,106,60
4530,Full Spectrum Warrior: Ten Hammers,7/17/2007,Single-player;Multi-player;Co-op,Action;Strategy,Strategy;Action;Tactical,76,38
4560,Company of Heroes - Legacy Edition,7/17/2007,Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud,Violent;Action;Strategy,Strategy;RTS;World War II,4772,320
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",8/7/2007,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Warhammer 40K;RTS,3485,206
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",8/7/2007,Single-player;Multi-player;Steam Cloud,Strategy,Strategy;Warhammer 40K;RTS,2849,133
4700,Total War: MEDIEVAL II – Definitive Edition,11/15/2006,Single-player;Multi-player;Steam Trading Cards,Strategy,Strategy;Medieval;Historical,10270,605
4720,Condemned: Criminal Origins,10/29/2012,Single-player,Action,Horror;Action;Atmospheric,1243,221
4760,Rome: Total War™ - Collection,8/28/2007,Single-player;Multi-player;Steam Trading Cards,Strategy,Strategy;Historical;Rome,7806,562
4770,Rome: Total War™ - Alexander,8/28/2007,Single-player;Multi-player,Strategy,Strategy;RTS;Historical,331,131
4780,Medieval II: Total War™ Kingdoms,8/28/2007,Single-player;Multi-player,Strategy,Strategy;Medieval;Historical,585,30
4800,Heroes of Annihilated Empires,11/22/2006,Single-player;Multi-player,Strategy,Strategy;RTS;RPG,259,46
4850,Cossacks: Back to War,9/2/2010,Single-player;Multi-player,Strategy,Strategy;RTS;Classic,1081,143
4870,Cossacks: Art of War,8/26/2011,Single-player,Strategy,Strategy;RTS;Historical,102,22
4880,Cossacks: European Wars,8/26/2011,Single-player,Strategy,Strategy;RTS;Historical,170,66
4890,Cossacks II: Battle for Europe,8/26/2011,Single-player;Multi-player;Online Multi-Player;Local Multi-Player,Strategy,Strategy;RTS;Historical,246,138
4900,Zen of Sudoku,12/14/2006,Single-player,Casual;Indie,Casual;Indie;Puzzle,122,17
4920,Natural Selection 2,10/30/2012,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Action;Indie;Strategy,Multiplayer;Strategy;FPS,8372,1498
6000,STAR WARS™ Republic Commando™,7/8/2009,Single-player;Multi-player;Local Multi-Player;Steam Cloud,Action,Star Wars;Action;FPS,6392,379
6010,Indiana Jones® and the Fate of Atlantis™,7/8/2009,Single-player;Steam Cloud,Adventure,Adventure;Point & Click;Classic,597,31
6020,STAR WARS™ Jedi Knight - Jedi Academy™,9/16/2009,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud,Action,Star Wars;Action;Sci-fi,5684,330
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,9/16/2009,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud,Action,Star Wars;Action;Classic,2020,219
6040,The Dig®,7/8/2009,Single-player;Steam Cloud,Adventure,Adventure;Point & Click;Sci-fi,575,55
6060,"Star Wars: Battlefront 2 (Classic, 2005)",7/8/2009,Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud,Action,Star Wars;Action;Multiplayer,29149,2425
6080,Thrillville®: Off the Rails™,7/8/2009,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud,Action;Adventure;Racing;Simulation;Strategy,Simulation;Strategy;Action,272,38
6090,Armed and Dangerous®,7/8/2009,Single-player;Steam Cloud,Action,Action;Comedy;Third-Person Shooter,115,18
6120,Shank,10/25/2010,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Action;Indie,Action;Indie;Beat 'em up,1749,227
6200,Ghost Master®,12/21/2006,Single-player,Strategy,Strategy;Comedy;Puzzle,1025,164
6210,Vegas: Make It Big™,12/21/2006,Single-player,Strategy,Strategy;Simulation;Management,91,33
6220,FlatOut,2/2/2007,Single-player;Multi-player,Racing,Racing;Destruction;Driving,1977,186
6250,Making History: The Calm & the Storm,3/13/2007,Single-player;Multi-player,Action;Strategy,Strategy;Action;Grand Strategy,460,107
6270,Ducati World Championship,9/21/2007,Single-player;Multi-player,Racing,Racing;Simulation,77,100
6300,Dreamfall: The Longest Journey,1/12/2007,Single-player,Adventure;RPG,Adventure;Female Protagonist;Story Rich,588,89
6310,The Longest Journey,5/1/2007,Single-player,Action;Adventure;RPG,Adventure;Point & Click;Female Protagonist,1152,102
6370,Bloodline Champions,10/28/2011,Single-player;Multi-player;MMO,Action;Free to Play;Massively Multiplayer,Free to Play;Action;MOBA,1365,226
6400,Joint Task Force,3/27/2007,Single-player;Multi-player;Co-op;Shared/Split Screen,Action;Strategy,Strategy;Action;RTS,100,15
6420,Nexus - The Jupiter Incident,7/3/2007,Single-player;Multi-player;Includes level editor,Indie;Simulation;Strategy,Strategy;Space;Sci-fi,474,90
6510,Lost Planet™: Extreme Condition,6/29/2007,Single-player;Multi-player;Partial Controller Support;Valve Anti-Cheat enabled,Action;Adventure,Action;Adventure;Third-Person Shooter,569,178
6550,Devil May Cry® 3 Special Edition,6/12/2007,Single-player;Partial Controller Support,Action,Action;Hack and Slash;Great Soundtrack,1462,1052
6800,Commandos: Behind Enemy Lines,3/15/2007,Single-player;Multi-player;Co-op,Action,Strategy;Stealth;Action,1561,213
6810,Commandos: Beyond the Call of Duty,3/15/2007,Single-player;Multi-player;Co-op,Action,Action;Strategy;Tactical,404,71
6830,Commandos 2: Men of Courage,3/15/2007,Single-player;Multi-player;Co-op,Action,Strategy;Tactical;Stealth,1333,238
6840,Commandos 3: Destination Berlin,3/15/2007,Single-player;Multi-player;Co-op,Action,Strategy;Action;Tactical,421,265
6850,Hitman 2: Silent Assassin,3/15/2007,Single-player,Action,Stealth;Action;Third Person,1514,260
6860,Hitman: Blood Money,3/15/2007,Single-player,Action,Stealth;Action;Third Person,5864,391
6870,Battlestations: Midway,3/15/2007,Single-player,Action,Action;World War II;Naval,316,113
6880,Just Cause,3/15/2007,Single-player,Action,Action;Open World;Shooter,1732,846
6900,Hitman: Codename 47,3/15/2007,Single-player,Action,Stealth;Action;Classic,1186,450
6910,Deus Ex: Game of the Year Edition,3/29/2007,Single-player;Multi-player,Action,Cyberpunk;RPG;Stealth,6242,347
6920,Deus Ex: Invisible War,3/29/2007,Single-player,Action,Cyberpunk;Action;FPS,649,433
